C:\4c\Engineering\bin>PLIST 4cpcdl
Microsoft (R) PLIST Version 6.00.8168.0
Copyright (c) Microsoft Corp 1991-1998. All rights reserved.

Profile: Function timing, sorted by time
Date:    Wed Jun 07 17:09:08 2006


Program Statistics
------------------
    Command line at 2006 Jun 07 17:07: 4dl C:\4c\Projects\d-236\MassTest\MassTest.4cp win1
    Total time: 87729,071 millisecond
    Time outside of functions: 11020,905 millisecond
    Call depth: 17
    Total functions: 1322
    Total hits: 345877
    Function coverage: 39,0%
    Overhead Calculated 963
    Overhead Average 963

Module Statistics for 4cpcdl.dll
--------------------------------
    Time in module: 76708,166 millisecond
    Percent of time in module: 100,0%
    Functions in module: 1322
    Hits in module: 345877
    Module function coverage: 39,0%

        Func          Func+Child           Hit
        Time   %         Time      %      Count  Function
---------------------------------------------------------
       0,323   0,0        0,323   0,0      731 CString::CompareNoCase(char const *) (dlstat.obj)
       0,318   0,0        0,438   0,0      718 AfxGetResourceHandle(void) (dlext.obj)
       0,310   0,0       62,116   0,1        1 CStation::MarkDomainsNew(void) (dldb.obj)
       0,291   0,0        0,350   0,0        3 ATL::AtlUnadvise(struct IUnknown *,struct _GUID const &,unsigned long) (dlstat.obj)
       0,291   0,0        0,617   0,0     1440 ATL::CComObjectRootEx<class ATL::CComMultiThreadModel>::Unlock(void) (cedl.obj)
       0,290   0,0        0,303   0,0        6 CSubscriber::Subscribe(class CString const &,enum BL_IEC_TYP,long &,bool &) (subscription.obj)
       0,284   0,0        0,284   0,0     2878 ATL::CComBSTR::operator unsigned short *(void) (cedl.obj)
       0,273   0,0        0,273   0,0     1459 CString::Empty(void) (mfc42.dll)
       0,207   0,0        0,483   0,0      714 operator!=(class CString const &,class CString const &) (dldb.obj)
       0,203   0,0       28,694   0,0      718 FormatMsg(char *,long,...) (dlext.obj)
       0,188   0,0        0,188   0,0      715 CStation::CheckThreadId(unsigned long) (dlstat.obj)
       0,174   0,0        0,174   0,0     1444 ATL::CComBSTR::CComBSTR(void) (cedl.obj)
       0,156   0,0        0,156   0,0     1450 CString::GetAt(int) (csvpars.obj)
       0,138   0,0     1522,555   2,0        1 CStation::AdaptCycle2(void) (dlstat.obj)
       0,123   0,0        0,123   0,0      723 AfxGetModuleState(void) (mfc42.dll)
       0,117   0,0        0,117   0,0        6 ATL::CComPtr<struct IConnectionPoint>::~CComPtr<struct IConnectionPoint>(void) (dlstat.obj)
       0,112   0,0        0,112   0,0      722 AFX_MAINTAIN_STATE2::~AFX_MAINTAIN_STATE2(void) (cedl.obj)
       0,086   0,0        0,089   0,0        2 ATL::IConnectionPointImpl<class CImpCEDL,&struct _GUID const IID_IDLEvents,class ATL::CComDynamicUnkArray>::Unadvise(unsigned long) (cedl.obj)
       0,063   0,0        0,064   0,0        1 ATL::IConnectionPointImpl<class CImpCEDL,&struct _GUID const IID__ICEMessageEvent,class ATL::CComDynamicUnkArray>::Unadvise(unsigned long) (cedl.obj)
       0,055   0,0        0,401   0,0        2 CStation::Detach(bool) (dlstat.obj)
       0,039   0,0        0,039   0,0        4 CCsvParse::Close(void) (csvpars.obj)
       0,035   0,0        0,035   0,0        1 AfxWinInit(struct HINSTANCE__ *,struct HINSTANCE__ *,char *,int) (mfc42.dll)
       0,029   0,0        0,030   0,0        6 CSubscriber::Unsubscribe(class CString const &,long) (subscription.obj)
       0,014   0,0        0,014   0,0       10 operator+(class CString const &,char const *) (mfc42.dll)
       0,011   0,0        0,011   0,0        1 _UTIL_GetModulePath (fc_util.dll)
       0,010   0,0        0,010   0,0        2 ATL::AtlComPtrAssign(struct IUnknown * *,struct IUnknown *) (cedl.obj)
       0,008   0,0        0,020   0,0       29 ATL::AtlInternalQueryInterface(void *,struct ATL::_ATL_INTMAP_ENTRY const *,struct _GUID const &,void * *) (cedl.obj)
       0,008   0,0        0,008   0,0        6 _FC_NewMemory@8 (fc_todebug.dll)
       0,008   0,0        0,008   0,0        2 CStdioFile::~CStdioFile(void) (mfc42.dll)
       0,008   0,0        0,008   0,0        1 CWinApp::CWinApp(char const *) (mfc42.dll)
       0,007   0,0        0,007   0,0        4 CException::CException(void) (mfc42.dll)
       0,007   0,0        0,007   0,0        6 CSubscription::operator delete(void *) (subscription.obj)
       0,007   0,0        0,007   0,0      118 ATL::InlineIsEqualGUID(struct _GUID const &,struct _GUID const &) (cedl.obj)
       0,006   0,0        0,006   0,0        1 AfxDllCanUnloadNow(void) (mfc42.dll)
       0,006   0,0        0,006   0,0        1 CDaoDatabase::CDaoDatabase(class CDaoWorkspace *) (mfc42.dll)
       0,006   0,0        0,006   0,0        1 AfxTermExtensionModule(struct AFX_EXTENSION_MODULE &,int) (mfc42.dll)
       0,005   0,0        2,969   0,0        1 CStation::UpdateDomain(class CDomRS &) (dldb.obj)
       0,005   0,0        0,005   0,0        1 ATL::AtlModuleInit(struct ATL::_ATL_MODULE *,struct ATL::_ATL_OBJMAP_ENTRY *,struct HINSTANCE__ *) (cedl.obj)
